"STATISTIC","Statistic Label","TLIST(A1)","Year","C02196V04140","County and Region","UNIT","VALUE"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","-","State","Euro Million","42023.34"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04","Northern and Western","Euro Million","5749.0110751"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE041","Border","Euro Million","2542.2901115"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04128","Leitrim","Euro Million","202.84343026"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04131","Sligo","Euro Million","512.24394076"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04132","Cavan","Euro Million","444.71401069"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04133","Donegal","Euro Million","940.69292476"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04134","Monaghan","Euro Million","441.79580506"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE042","West","Euro Million","3206.7209635"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04225","Galway","Euro Million","1818.884794"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04229","Mayo","Euro Million","953.06188157"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE04230","Roscommon","Euro Million","434.77428794"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05","Southern","Euro Million","12668.256502"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE051","Mid-West","Euro Million","4064.1690781"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05116","Clare","Euro Million","1017.4427692"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05118","Limerick","Euro Million","1844.5784339"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05122","Tipperary","Euro Million","1202.147875"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE052","South-East","Euro Million","3126.3728878"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05201","Carlow","Euro Million","420.67394238"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05207","Kilkenny","Euro Million","697.17263396"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05214","Wexford","Euro Million","940.59238192"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05225","Waterford","Euro Million","1067.9339296"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE053","South-West","Euro Million","5477.7145356"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05316","Cork","Euro Million","4484.8745735"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE05319","Kerry","Euro Million","992.83996218"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06","Eastern and Midland","Euro Million","23606.072423"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE061","Dublin","Euro Million","15697.899064"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE062","Mid-East","Euro Million","5854.4295125"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06206","Kildare","Euro Million","2069.5936339"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06210","Louth","Euro Million","1110.9923315"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06211","Meath","Euro Million","1436.0710097"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06215","Wicklow","Euro Million","1237.7725373"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE063","Midland","Euro Million","2053.7438464"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06308","Laois","Euro Million","531.20658655"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06309","Longford","Euro Million","252.31237996"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06312","Offaly","Euro Million","554.20258963"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2000","2000","IE06313","Westmeath","Euro Million","716.02229025"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","-","State","Euro Million","46881.77"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04","Northern and Western","Euro Million","6359.0890444"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE041","Border","Euro Million","2793.4129046"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04128","Leitrim","Euro Million","219.37566776"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04131","Sligo","Euro Million","573.18938416"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04132","Cavan","Euro Million","493.52176808"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04133","Donegal","Euro Million","1025.2756361"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04134","Monaghan","Euro Million","482.05044848"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE042","West","Euro Million","3565.6761398"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04225","Galway","Euro Million","2033.0094772"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04229","Mayo","Euro Million","1048.5116409"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE04230","Roscommon","Euro Million","484.15502175"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05","Southern","Euro Million","14045.27836"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE051","Mid-West","Euro Million","4616.838558"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05116","Clare","Euro Million","1102.7974938"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05118","Limerick","Euro Million","2136.8669309"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05122","Tipperary","Euro Million","1377.1741333"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE052","South-East","Euro Million","3400.1160106"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05201","Carlow","Euro Million","461.34598304"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05207","Kilkenny","Euro Million","749.89175073"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05214","Wexford","Euro Million","1050.8907867"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05225","Waterford","Euro Million","1137.9874901"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE053","South-West","Euro Million","6028.323791"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05316","Cork","Euro Million","4924.593771"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE05319","Kerry","Euro Million","1103.7300201"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06","Eastern and Midland","Euro Million","26477.402596"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE061","Dublin","Euro Million","17553.772403"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE062","Mid-East","Euro Million","6612.5210887"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06206","Kildare","Euro Million","2339.2412168"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06210","Louth","Euro Million","1241.2499037"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06211","Meath","Euro Million","1625.6551803"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06215","Wicklow","Euro Million","1406.3747878"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE063","Midland","Euro Million","2311.1091047"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06308","Laois","Euro Million","588.41365172"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06309","Longford","Euro Million","284.92241689"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06312","Offaly","Euro Million","622.8213892"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2001","2001","IE06313","Westmeath","Euro Million","814.95164692"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","-","State","Euro Million","50047.79"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04","Northern and Western","Euro Million","6873.2804017"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE041","Border","Euro Million","3030.702103"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04128","Leitrim","Euro Million","241.49089667"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04131","Sligo","Euro Million","643.55653562"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04132","Cavan","Euro Million","552.22647583"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04133","Donegal","Euro Million","1084.8691986"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04134","Monaghan","Euro Million","508.5589963"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE042","West","Euro Million","3842.5782987"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04225","Galway","Euro Million","2201.3442414"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04229","Mayo","Euro Million","1120.6973685"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE04230","Roscommon","Euro Million","520.5366888"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05","Southern","Euro Million","15310.647488"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE051","Mid-West","Euro Million","4818.9174955"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05116","Clare","Euro Million","1205.3075531"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05118","Limerick","Euro Million","2129.5549125"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05122","Tipperary","Euro Million","1484.0550299"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE052","South-East","Euro Million","3747.0294009"
"CIA02C01","Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2002","2002","IE05201","Carlow","Euro Million","474.38963359"
